truth_set,model,reference,observable,n,mean_model,mean_truth,rel_shift,w1_sigma,corr,rel_res
val,"cond. CFM, 1 sample",truth,mass,8827,4.519585132598877,5.486537456512451,-0.17624090611934662,0.7180643162228838,0.44273150517874754,1.045780897140503
val,"cond. CFM, 1 sample",truth,girth,8827,0.18256980180740356,0.18667517602443695,-0.021992074325680733,0.10009647877771333,0.9395619044871931,0.3598492741584778
val,"cond. CFM, 1 sample",truth,ptd,8827,0.41920706629753113,0.39776864647865295,0.0538967065513134,0.20656893546810626,0.8994991392896531,0.4623592495918274
val,"cond. CFM, 1 sample",truth,core,8827,0.4429187774658203,0.4299358129501343,0.030197449028491974,0.06883217137539314,0.9568127522019388,0.30622178316116333
val,"cond. CFM, 1 sample",truth,zlead,8827,0.3246457874774933,0.305081844329834,0.0641268715262413,0.1464012669448661,0.9293729090776048,0.38799095153808594
val,"cond. CFM, 1 sample",truth,n1,8827,6.852271556854248,7.468789100646973,-0.08254584670066833,0.2790864349390378,0.5170769061125114,0.9701446890830994
val,"cond. CFM, 1 sample",truth,zg,8711,0.24339202426293877,0.23269870446589275,0.04595349949021038,0.09544194294215326,0.3222681020189394,1.1757012386429566
val,"cond. CFM, 1 sample",truth,rg,8711,0.22893565497237003,0.2587342277634571,-0.115170586623467,0.2994184962035725,0.4707446538451533,0.9670017241874083
val,"cond. CFM, mean of 16",truth,et,8827,30.58000373840332,32.784420013427734,-0.06723975390195847,0.3425759257535058,0.8690706496674108,0.5113774538040161
val,"cond. CFM, mean of 16",truth,mass,8827,4.596107006072998,5.486537456512451,-0.1622937023639679,0.6610672718868311,0.6296508833747679,0.7834669351577759
val,"cond. CFM, mean of 16",truth,girth,8827,0.1827300637960434,0.18667517602443695,-0.02113356627523899,0.08826068734685086,0.9692624642710395,0.2504276633262634
val,"cond. CFM, mean of 16",truth,ptd,8827,0.40707769989967346,0.39776864647865295,0.023403186351060867,0.09181641329702576,0.954415052987238,0.31119441986083984
val,"cond. CFM, mean of 16",truth,core,8827,0.4421730041503906,0.4299358129501343,0.028462832793593407,0.054250525329404914,0.9779908748491297,0.21388299763202667
val,"cond. CFM, mean of 16",truth,zlead,8827,0.31971824169158936,0.305081844329834,0.047975312918424606,0.10984341911152522,0.9677996263280674,0.25836971402168274
val,"cond. CFM, mean of 16",truth,n1,8827,6.069332599639893,7.468789100646973,-0.18737395107746124,0.6328110739357442,0.6079471751594276,0.8302176594734192
val,"cond. CFM, mean of 16",truth,zg,8719,0.2425201285283202,0.23280895068947166,0.041713077654826194,0.08666373657152165,0.38461090063628894,1.124682536808378
val,"cond. CFM, mean of 16",truth,rg,8719,0.21926413288730318,0.2587397806958388,-0.15256891577465304,0.3972067575886071,0.5693820960089212,0.8555410509635832
jewel,uvcgan-s published,truth,et,8436,25.91286277770996,27.113298416137695,-0.044274792075157166,0.1251060147095275,0.9248470597411725,0.40767526626586914
jewel,uvcgan-s published,truth,mass,8436,3.593348741531372,4.21455717086792,-0.14739589393138885,0.4707652722220702,0.6414823597330315,0.8854488730430603
jewel,uvcgan-s published,truth,girth,8436,0.18311627209186554,0.18568547070026398,-0.01383629348129034,0.06850735440915347,0.9480158792171696,0.33355653285980225
jewel,uvcgan-s published,truth,ptd,8436,0.4480631947517395,0.429803729057312,0.042483266443014145,0.15667829040134293,0.8448075134974604,0.5765957832336426
jewel,uvcgan-s published,truth,core,8436,0.4455161690711975,0.43753740191459656,0.018235623836517334,0.04219687240880327,0.9649540516671726,0.2718880772590637
jewel,uvcgan-s published,truth,zlead,8436,0.35814422369003296,0.3412574231624603,0.04948405176401138,0.11358945568389245,0.8821973739845478,0.5013291835784912
jewel,uvcgan-s published,truth,n1,8436,5.6021809577941895,5.871858596801758,-0.04592713341116905,0.12871336105096118,0.6651398962769968,0.8651368021965027
jewel,uvcgan-s published,truth,zg,8235,0.23669215221071374,0.22875888909351075,0.034679584031202734,0.0721395582075137,0.33901993396470953,1.1603610420064834
jewel,uvcgan-s published,truth,rg,8235,0.22948562081076013,0.25011064740170214,-0.08246360882756103,0.1833856328918688,0.5635366160187409,0.8844960255659235
jewel,regress_l1,truth,et,8436,23.91801643371582,27.113298416137695,-0.11784925311803818,0.33193398651562794,0.913924334990913,0.4253552258014679
jewel,regress_l1,truth,mass,8436,2.628624200820923,4.21455717086792,-0.37629884481430054,1.2015231219528295,0.5742611312820876,0.858144223690033
jewel,regress_l1,truth,girth,8436,0.17520293593406677,0.18568547070026398,-0.05645317584276199,0.232175071502862,0.9345809163838981,0.4137030839920044
jewel,regress_l1,truth,ptd,8436,0.47044286131858826,0.429803729057312,0.09455277025699615,0.3692074409369183,0.8267086524395126,0.6304245591163635
jewel,regress_l1,truth,core,8436,0.4753510653972626,0.43753740191459656,0.0864238440990448,0.16016600409911677,0.9569532159866263,0.3356890082359314
jewel,regress_l1,truth,zlead,8436,0.3788917064666748,0.3412574231624603,0.11028121411800385,0.26565148904863856,0.8616620355396464,0.5639222264289856
jewel,regress_l1,truth,n1,8436,4.951280117034912,5.871858596801758,-0.15677803754806519,0.43593020580975345,0.6387068043984071,0.8472748398780823
jewel,regress_l1,truth,zg,8215,0.2534194486764201,0.2289119344004387,0.10706088496508907,0.22181013805490005,0.3223167137136929,1.1919054176362158
jewel,regress_l1,truth,rg,8215,0.19104891778041128,0.24997847453130786,-0.23573852453250377,0.5221814147034535,0.48634438246806805,0.8987256768623407
jewel,OT-CFM coarse,truth,et,8436,26.673675537109375,27.113298416137695,-0.016214290633797646,0.04874980268411544,0.9394896860799896,0.3443767726421356
jewel,OT-CFM coarse,truth,mass,8436,4.869197845458984,4.21455717086792,0.15532845258712769,0.49710674222258966,0.6688639820012517,0.799867570400238
jewel,OT-CFM coarse,truth,girth,8436,0.19814813137054443,0.18568547070026398,0.06711705029010773,0.25765259465280893,0.9532733191068121,0.31226056814193726
jewel,OT-CFM coarse,truth,ptd,8436,0.3672952651977539,0.429803729057312,-0.1454349011182785,0.5358491171240243,0.9180398797060416,0.3964918553829193
jewel,OT-CFM coarse,truth,core,8436,0.3940980136394501,0.43753740191459656,-0.09928154200315475,0.19128809469864974,0.9675964527583241,0.2737434506416321
jewel,OT-CFM coarse,truth,zlead,8436,0.29001834988594055,0.3412574231624603,-0.15014787018299103,0.3444166655425868,0.9427453471462646,0.33587947487831116
jewel,OT-CFM coarse,truth,n1,8436,5.06744909286499,5.871858596801758,-0.13699401915073395,0.3810319645939487,0.6659798508365222,0.8149480819702148
jewel,OT-CFM coarse,truth,zg,8287,0.20910262384854278,0.228666412991457,-0.08555602410943114,0.177097706549777,0.32683576507138823,1.1267234562870603
jewel,OT-CFM coarse,truth,rg,8287,0.2886594092773768,0.25080219139042953,0.15094452595118713,0.3876618362249022,0.567602339088585,0.8772242535604219
jewel,OT-CFM converged,truth,et,8436,19.041330337524414,27.113298416137695,-0.297712504863739,0.8384057237162309,0.9349123972870769,0.3636007606983185
jewel,OT-CFM converged,truth,mass,8436,2.9079246520996094,4.21455717086792,-0.31002843379974365,0.9899216750871807,0.6521798991171055,0.7581238150596619
jewel,OT-CFM converged,truth,girth,8436,0.18782199919223785,0.18568547070026398,0.011506169103085995,0.06070717327216044,0.9600111721251553,0.28008314967155457
jewel,OT-CFM converged,truth,ptd,8436,0.3967912495136261,0.429803729057312,-0.07680826634168625,0.2829968752699574,0.9152295581731786,0.42333903908729553
jewel,OT-CFM converged,truth,core,8436,0.42891043424606323,0.43753740191459656,-0.019717097282409668,0.0597646539754539,0.9710603792712418,0.23981139063835144
jewel,OT-CFM converged,truth,zlead,8436,0.32367008924484253,0.3412574231624603,-0.05153685435652733,0.11821770764965556,0.9424113271257034,0.3381660580635071
jewel,OT-CFM converged,truth,n1,8436,3.3851351737976074,5.871858596801758,-0.4234985113143921,1.177561660761912,0.5807329754871621,0.8567392826080322
jewel,OT-CFM converged,truth,zg,8240,0.2220014944348747,0.2292374196705135,-0.031565201030613145,0.06547763275758803,0.35466777668455707,1.1370068732908598
jewel,OT-CFM converged,truth,rg,8240,0.2281761533076122,0.2508217013447169,-0.09028544147374933,0.20032239082880895,0.6308619902714451,0.8006854221279246
jewel,OT-CFM coarse_thr0.5,truth,et,8436,21.388975143432617,27.113298416137695,-0.21112604439258575,0.5945644460060091,0.9405360628205478,0.3424515426158905
jewel,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",et,8436,21.388975143432617,24.407045364379883,-0.12365569919347763,0.3124684687613768,0.9458099683715153,0.32659462094306946
