model,observable,jewel,val,delta,delta_over_truth
"cond. CFM, mean of 16",n1,5.237369060516357,5.808952331542969,-0.5715832710266113,0.5683773348361127
"cond. CFM, mean of 16",ptd,0.4031889736652374,0.3674505650997162,0.03573840856552124,0.7250509091084981
"cond. CFM, mean of 16",rg,0.22220437989835498,0.242750561137044,-0.02054618123868901,0.7675964454370175
"cond. CFM, mean of 16",zg,0.22661432422203903,0.24078878904227755,-0.014174464820238514,1.486466910625668
"cond. CFM, mean of 16",zlead,0.32040366530418396,0.2779648005962372,0.04243886470794678,0.7508485202239661
regress_l1,core,0.477013498544693,0.4650353789329529,0.011978119611740112,0.633441082047152
regress_l1,et,22.65464210510254,22.95530128479004,-0.3006591796875,0.18410393687544674
regress_l1,girth,0.173670694231987,0.1765383630990982,-0.002867668867111206,0.5654787790458504
regress_l1,mass,2.708777666091919,3.0494141578674316,-0.3406364917755127,0.49501222690417834
regress_l1,n1,5.319034099578857,5.882257461547852,-0.5632233619689941,0.5600643154205751
regress_l1,ptd,0.454392671585083,0.4163200259208679,0.03807264566421509,0.7724072631940447
regress_l1,rg,0.19303423592705607,0.2140933408628029,-0.021059104935746836,0.7867590529341528
regress_l1,zg,0.25043500504925426,0.2662181778728123,-0.015783172823558067,1.655171073083984
regress_l1,zlead,0.3602111339569092,0.31419986486434937,0.046011269092559814,0.8140531927402418
truth,core,0.43379732966423035,0.4148877263069153,0.018909603357315063,1.0
truth,et,24.97968864440918,26.612783432006836,-1.6330947875976562,1.0
truth,girth,0.1860182285308838,0.1910894513130188,-0.00507122278213501,1.0
truth,mass,4.111024856567383,4.7991623878479,-0.6881375312805176,1.0
truth,n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
truth,ptd,0.41699209809303284,0.3677012026309967,0.04929089546203613,1.0
truth,rg,0.2540173917649652,0.28078429690219703,-0.026766905137231845,1.0
truth,zg,0.22643953673321637,0.23597521137145797,-0.009535674638241592,1.0
truth,zlead,0.3271385431289673,0.2706173360347748,0.056521207094192505,1.0
"truth, towers > 0.5 GeV",core,0.4620605409145355,0.4436057209968567,0.018454819917678833,0.9759496044923491
"truth, towers > 0.5 GeV",et,22.231103897094727,23.474456787109375,-1.2433528900146484,0.7613476568887145
"truth, towers > 0.5 GeV",girth,0.1788974404335022,0.1838809847831726,-0.00498354434967041,0.9827105934344919
"truth, towers > 0.5 GeV",mass,3.212651014328003,3.817085027694702,-0.6044340133666992,0.87836222541436
"truth, towers > 0.5 GeV",n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
"truth, towers > 0.5 GeV",ptd,0.46608152985572815,0.41471415758132935,0.051367372274398804,1.0421269849715344
"truth, towers > 0.5 GeV",rg,0.2350900251627445,0.2639270706825873,-0.028837045519842813,1.077339549417369
"truth, towers > 0.5 GeV",zg,0.23904773301033522,0.24582664781664948,-0.006778914806314262,0.7109003886445852
"truth, towers > 0.5 GeV",zlead,0.36643821001052856,0.3063339591026306,0.06010425090789795,1.063392910341322
"truth, towers > 0.7 GeV",core,0.47379595041275024,0.45480722188949585,0.018988728523254395,1.0041843905683363
"truth, towers > 0.7 GeV",et,21.10115623474121,22.177043914794922,-1.075887680053711,0.6588029600145758
"truth, towers > 0.7 GeV",girth,0.1759747713804245,0.1810021996498108,-0.0050274282693862915,0.9913641118463582
"truth, towers > 0.7 GeV",mass,2.8520870208740234,3.428548812866211,-0.5764617919921875,0.8377130526792823
"truth, towers > 0.7 GeV",n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
"truth, towers > 0.7 GeV",ptd,0.4891146421432495,0.4372105598449707,0.05190408229827881,1.0530156089019596
"truth, towers > 0.7 GeV",rg,0.229725004469065,0.2578858676629998,-0.02816086319393482,1.052077670151116
"truth, towers > 0.7 GeV",zg,0.24016008278200957,0.24791467008031182,-0.007754587298302251,0.8132185285772524
"truth, towers > 0.7 GeV",zlead,0.3856513500213623,0.32434526085853577,0.06130608916282654,1.0846564026960719
uvcgan-s published,core,0.44198665022850037,0.4263189733028412,0.01566767692565918,0.8285566137799625
uvcgan-s published,et,24.423341751098633,25.09559440612793,-0.6722526550292969,0.41164337804188683
uvcgan-s published,girth,0.18331043422222137,0.18725822865962982,-0.003947794437408447,0.7784699286562217
uvcgan-s published,mass,3.651383876800537,4.094717979431152,-0.44333410263061523,0.6442521770403061
uvcgan-s published,n1,5.92945671081543,6.640933990478516,-0.7114772796630859,0.7074866961817105
uvcgan-s published,ptd,0.42577171325683594,0.38572627305984497,0.04004544019699097,0.8124307708678975
uvcgan-s published,rg,0.23715167832695977,0.2569134338706173,-0.019761755543657555,0.7382906407124981
uvcgan-s published,zg,0.23098482036260612,0.24563450822729438,-0.01464968786468826,1.5363032423461238
uvcgan-s published,zlead,0.33365803956985474,0.2861909568309784,0.04746708273887634,0.8398101381623454
