model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,mse_sig,mse_in,mse_out,n_jets,jes,bias,jer,jer_iqr,jer_cal,jet_in_region,step,truth
regress_l1,seeded8_zero_thr0.5,0.018932716878255207,0.18590163973344542,0.013049073332603016,19.36112998046875,0.0171619771639506,0.17963902737052354,0.011436618114116375,16720.0,0.781075070160711,-5.161607423011196,4.041231394492962,3.6602262393733676,4.19833044087475,0.9400717703349283,,jewel
regress_l1,seeded10_zero_thr0.7,0.0190286208152771,0.19008443144295772,0.01300096361330457,19.289748779296875,0.017626349671681724,0.1908176244999584,0.011523442992566902,16720.0,0.7507444182024491,-5.844651663987831,4.070997978791186,3.776713244732969,4.197499544994971,0.9294856459330143,,jewel
ext_otcfm1_s0,coarse,0.15349220835367838,0.24675304920553395,0.15020588776128344,222.863006640625,0.07033052736918131,0.17389706628937215,0.06668105381764722,16720.0,0.9922102551463551,-0.45067862514673807,3.390777181457763,3.326819330078306,3.577595472626754,,6850.0,jewel
ext_otcfm1_s0,coarse_thr0.5,0.05966990089416504,0.21394759028631835,0.05423347040049286,80.4671138671875,0.05169482714335124,0.1823642743587083,0.04709030296216054,16720.0,0.7881798154217495,-5.219273505684291,3.3265327397720355,3.2283501593248327,3.498297111195575,,6850.0,jewel
ext_otcfm1_s0,coarse_thr0.7,0.04331038862864176,0.2123732517670607,0.0373529585276623,55.42121396484375,0.04281527722676595,0.19161326672198645,0.03757194022618349,16720.0,0.7095569453620697,-7.070590265544408,3.3039895266033974,3.2336925735643303,3.4744418228174543,,6850.0,jewel
ext_otcfm1_s0,seeded8_zero_thr0.5,0.04818822072347005,0.21400913962227194,0.04234503016234196,62.828034765625,0.042515012868245446,0.1827356786921611,0.03757392301321678,16720.0,0.788004588985249,-5.221374733881517,3.3294705773645634,3.229787563553026,3.5009437178804625,0.9992224880382775,6850.0,jewel
ext_otcfm1_s0,seeded10_zero_thr0.7,0.03130088602701823,0.21281273725228636,0.02490477918839012,36.95164052734375,0.030226514943440756,0.19362837906503458,0.02446856762071466,16720.0,0.7083382367356269,-7.085616114179484,3.32023890599792,3.2542513599211946,3.4882158413312965,0.9941985645933015,6850.0,jewel
pilot_otcfm_s0,coarse,0.14923817087809244,0.24579651875921066,0.14583565085211508,216.3788125,0.06726873219807943,0.17676907740740802,0.06341016289491995,16720.0,0.9775508575664218,-0.845881350645038,3.3453520425464833,3.2590374052303646,3.549387319460893,,26470.0,jewel
pilot_otcfm_s0,coarse_thr0.5,0.05700997200012207,0.21449259158722744,0.05146060634817216,76.35296875,0.049185202407836914,0.1863689895676535,0.04435112700453931,16720.0,0.7701604708530309,-5.687470754795668,3.2900249219718227,3.2095822517389365,3.478764509784455,,26470.0,jewel
pilot_otcfm_s0,coarse_thr0.7,0.04157423343658447,0.21366027257497158,0.03551027315285932,52.687190625,0.04087475503285726,0.19641051094048703,0.03539399356989004,16720.0,0.6939547860238984,-7.481901080585553,3.279230890652344,3.206878348223981,3.4669136145032464,,26470.0,jewel
pilot_otcfm_s0,seeded8_zero_thr0.5,0.0456887020111084,0.21456723537408204,0.03973776762739889,58.95959541015625,0.04013076979319254,0.18680910544688514,0.03496212511209602,16720.0,0.7699743732420323,-5.689751292472821,3.2932204445215185,3.2131933476679233,3.4819138982267535,0.9991626794258374,26470.0,jewel
pilot_otcfm_s0,seeded10_zero_thr0.7,0.029904580815633137,0.21416515840308972,0.02341161378559191,34.736205859375,0.02863068478902181,0.19874877912760253,0.02263607107269785,16720.0,0.6926162943978939,-7.498383534097216,3.2955031094755256,3.2318778352617246,3.4819192180012988,0.9935406698564593,26470.0,jewel
