batch,repeat,plan,decode,plan_time,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal,partners,sb_err,plan_mass
1024,3,sb,mixture,0.09963065758347511,0.7064846158027649,879,0.965743020148415,-1.1816998851719704,7.425213881192514,7.380213359270032,8.022192115685282,1.635895514754625,0.0009259823127649724,1.0000269497814087
1024,3,ot-sum,direct,0.17996062338352203,0.10238907486200333,879,0.20686981150055012,-26.357347553500542,12.096442820876575,9.271233589053596,521.8442228534797,,,
1024,3,ot-sum,mixture,0.17996062338352203,0.700796365737915,879,0.9670376393041733,-1.1238669958537755,7.901549400733223,7.668774423111448,8.296527159521295,,,
2048,0,random,direct,0.0,0.04071388766169548,1793,0.09225184456211012,-29.891985145415667,9.248946112391149,6.725114747451093,-964.6033757972559,,,
2048,0,random,mixture,0.0,0.6860011219978333,1793,0.9982485580973297,-0.06573507284493135,12.856791578287224,13.04529895598664,12.947513387976542,,,
2048,0,ot,direct,1.177589301019907,0.04406023398041725,1793,0.09620186532616072,-29.73622521806282,9.359614379407487,6.946252663105483,711.5747330563667,,,
2048,0,ot,mixture,1.177589301019907,0.6826547980308533,1793,0.9255253706231025,-2.4284582260395653,7.493402942231947,7.413396135447554,7.930277404762623,,,
2048,0,sb,direct,0.6202816404402256,0.04406023398041725,1793,0.09261639483972098,-29.818506430728572,9.053017272876895,6.8789454545684885,177.28402084213835,1.6954295167365627,0.0008284678915515542,1.0000147877631118
2048,0,sb,mixture,0.6202816404402256,0.6720580458641052,1793,0.923859745970118,-2.4574073614917253,7.559517459603116,7.3249921522995916,7.853738664897663,1.6954295167365627,0.0008284678915515542,1.0000147877631118
2048,0,ot-sum,direct,1.108990840613842,0.1193530410528183,1793,0.22612514946824436,-25.59690086281772,12.64058207703121,10.474006364396804,351.1700706595353,,,
2048,0,ot-sum,mixture,1.108990840613842,0.6642498970031738,1793,0.9334291557924864,-2.1405927027262464,7.758367073504166,7.806667670044217,7.976628895337073,,,
2048,1,random,direct,0.0,0.04532577842473984,1765,0.0948467563881058,-30.24671558023512,9.304900272575413,7.0261068040128105,-249.96104567358725,,,
2048,1,random,mixture,0.0,0.6923512816429138,1765,0.9912908586895898,-0.3114308133003732,12.689146388250064,12.613107046434136,13.130112017053824,,,
2048,1,ot,direct,1.1830047108232975,0.03626062348484993,1765,0.09767395591672864,-30.12137330247052,9.165114757632706,7.163027289003863,1033.668850346106,,,
2048,1,ot,mixture,1.1830047108232975,0.687818706035614,1765,0.9334461738402196,-2.1491370522604445,7.723469898074876,7.587291471511016,7.778187376887251,,,
2048,1,sb,direct,0.42634856328368187,0.036827195435762405,1765,0.09642591496102862,-30.15445351316976,9.070942216809629,7.147669527069386,532.9983337687111,1.6955174725662963,0.0009526364738121629,1.0000147632292524
2048,1,sb,mixture,0.42634856328368187,0.6946175694465637,1765,0.9365822301265525,-2.056022283105607,7.656447152820418,7.38427690261377,7.743361087250979,1.6955174725662963,0.0009526364738121629,1.0000147632292524
2048,1,ot-sum,direct,1.087704673409462,0.12067988514900208,1765,0.22439301442078285,-26.069357908211078,12.577530165363147,9.933826568128445,4274.603868207293,,,
2048,1,ot-sum,mixture,1.087704673409462,0.7014164328575134,1765,0.9394086320748444,-1.9762702714957865,7.743992188654047,7.591988441235406,7.991376847275464,,,
2048,2,random,direct,0.0,0.03910614550113678,1790,0.09142147554399498,-29.890082748775374,8.882827287809064,6.915860568443168,437.8967984983302,,,
2048,2,random,mixture,0.0,0.6826815605163574,1790,0.9801877762307531,-0.5306154426915685,12.547634750710325,12.326820591275474,11.581216082404925,,,
2048,2,ot,direct,1.1709215566515923,0.044134076684713364,1790,0.09955210196500085,-29.701668046706214,9.32809226083681,6.97934813107094,-205.04511893170837,,,
2048,2,ot,mixture,1.1709215566515923,0.708379864692688,1790,0.9254942626138524,-2.360035542536048,7.754850651986997,7.875378172516028,7.837075703935719,,,
2048,2,sb,direct,0.43194734677672386,0.040223464369773865,1790,0.09862773826429161,-29.739856668823922,9.354156214889004,6.97137869402954,-168.5287164469615,1.7005286996627196,0.0008341724751517177,1.0000145752716962
2048,2,sb,mixture,0.43194734677672386,0.7167597413063049,1790,0.9289800666366713,-2.248130134497275,7.685377496524693,7.7797548253064335,7.757063162008883,1.7005286996627196,0.0008341724751517177,1.0000145752716962
2048,2,ot-sum,direct,1.1086297519505024,0.11340782046318054,1790,0.22084020504223517,-25.79142296700504,12.567451623828074,9.563708676507156,591.0933426951187,,,
2048,2,ot-sum,mixture,1.1086297519505024,0.7044692635536194,1790,0.9328589401709272,-2.126095391918161,7.65438354031943,7.54146349704027,7.784621096500119,,,
2048,3,random,direct,0.0,0.03599113970994949,1806,0.09611039377550622,-29.773534175433458,9.567573629008146,7.300214293800168,4045.637946947882,,,
2048,3,random,mixture,0.0,0.6932447552680969,1806,0.9955715573086648,-0.20836020783332496,12.576148378721006,12.373697678189176,13.500118486987914,,,
2048,3,ot,direct,1.1729666665196419,0.04042081907391548,1806,0.10100300882440356,-29.6878539092781,9.852407450867151,7.605946090505952,-133.54088835181543,,,
2048,3,ot,mixture,1.1729666665196419,0.6727575063705444,1806,0.9272993092810883,-2.3132752749082917,7.392806661480554,7.287101448686853,7.514301996815782,,,
2048,3,sb,direct,0.4219961650669575,0.04208194836974144,1806,0.10007953400280371,-29.706780688707216,9.786643913942504,7.693188556306357,-152.27594305621727,1.6949859325193162,0.0009296179050579667,1.0000148489796294
2048,3,sb,mixture,0.4219961650669575,0.673311173915863,1806,0.926205009249401,-2.3376959539859135,7.49317698562349,7.308170652283484,7.57738588265586,1.6949859325193162,0.0009296179050579667,1.0000148489796294
2048,3,ot-sum,direct,1.088719554245472,0.12458471953868866,1806,0.23071615297724016,-25.519172309376998,13.02945526807322,10.839828479899753,448.23335311304874,,,
2048,3,ot-sum,mixture,1.088719554245472,0.6843854188919067,1806,0.9386199718159218,-1.9551246902871369,7.505082263205142,7.146293804148907,7.658457048070531,,,
