name,reference,observable,jewel,val,delta,fraction
"OT-CFM-unet-s2, thr0.5",thr,ptd,0.4453212022781372,0.40505585074424744,0.04026535153388977,0.7838701835631523
"OT-CFM-unet-s2, thr0.5",thr,rg,0.24373820020763404,0.2627069273759484,-0.01896872716831438,0.6577902425982569
"OT-CFM-unet-s2, thr0.5",thr,zg,0.22640031164454594,0.23558624194938574,-0.009185930304839801,1.3550738676172047
"OT-CFM-unet-s2, thr0.5",thr,zlead,0.3505539000034332,0.3018472492694855,0.048706650733947754,0.810369482993548
OT-CFM-uvcgan-s0,full,core,0.38974371552467346,0.37979891896247864,0.009944796562194824,0.5259124887116017
OT-CFM-uvcgan-s0,full,et,24.56563377380371,25.077322006225586,-0.511688232421875,0.31332427015739095
OT-CFM-uvcgan-s0,full,girth,0.19869709014892578,0.20117706060409546,-0.0024799704551696777,0.4890281026316099
OT-CFM-uvcgan-s0,full,mass,4.723174571990967,4.983829021453857,-0.2606544494628906,0.3787824927639871
OT-CFM-uvcgan-s0,full,n1,5.209723472595215,5.836847305297852,-0.6271238327026367,0.6236063767288562
OT-CFM-uvcgan-s0,full,ptd,0.3567425310611725,0.3253724277019501,0.03137010335922241,0.6364279460774592
OT-CFM-uvcgan-s0,full,rg,0.3015012157769434,0.30788531864081653,-0.006384102863873142,0.23850732205095593
OT-CFM-uvcgan-s0,full,zg,0.19675876949821403,0.21135524091376492,-0.014596471415550899,1.5307224679220528
OT-CFM-uvcgan-s0,full,zlead,0.2788306176662445,0.24029190838336945,0.03853870928287506,0.681845120870302
"OT-CFM-uvcgan-s0, thr0.5",thr,core,0.4527897834777832,0.44027847051620483,0.01251131296157837,0.6779428364723912
"OT-CFM-uvcgan-s0, thr0.5",thr,et,19.331106185913086,19.720985412597656,-0.3898792266845703,0.3135708533077661
"OT-CFM-uvcgan-s0, thr0.5",thr,girth,0.18179866671562195,0.1848476678133011,-0.003049001097679138,0.6118137782561894
"OT-CFM-uvcgan-s0, thr0.5",thr,mass,2.9115309715270996,3.1858034133911133,-0.27427244186401367,0.45376738535330824
"OT-CFM-uvcgan-s0, thr0.5",thr,n1,5.209723472595215,5.836847305297852,-0.6271238327026367,0.6236063767288562
"OT-CFM-uvcgan-s0, thr0.5",thr,ptd,0.45095008611679077,0.410654753446579,0.04029533267021179,0.784453844649841
"OT-CFM-uvcgan-s0, thr0.5",thr,rg,0.24099420565630036,0.25902205774013787,-0.018027852083837503,0.6251629374247966
"OT-CFM-uvcgan-s0, thr0.5",thr,zg,0.22695788474710663,0.23692552456527632,-0.009967639818169699,1.4703887130850617
"OT-CFM-uvcgan-s0, thr0.5",thr,zlead,0.3557910919189453,0.3069266080856323,0.04886448383331299,0.8129954719540808
UVCGAN-S,full,core,0.44198474287986755,0.42631879448890686,0.015665948390960693,0.8284652033645337
UVCGAN-S,full,et,24.423025131225586,25.095352172851562,-0.6723270416259766,0.4116889275086077
UVCGAN-S,full,girth,0.1833106279373169,0.18725807964801788,-0.003947451710700989,0.7784023459996944
UVCGAN-S,full,mass,3.6513495445251465,4.09468936920166,-0.44333982467651367,0.6442604923052617
UVCGAN-S,full,n1,5.929138660430908,6.640933990478516,-0.7117953300476074,0.7078029626630112
UVCGAN-S,full,ptd,0.42576271295547485,0.38571786880493164,0.04004484415054321,0.8124186784430761
UVCGAN-S,full,rg,0.23715007961642423,0.25695304265345775,-0.019802963037033522,0.7398301348439525
UVCGAN-S,full,zg,0.23104725070002274,0.24546181311399035,-0.014414562413967602,1.5116457891883035
