model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,step,mse_sig,mse_in,mse_out,n_jets,jes,bias,jer,jer_iqr,jer_cal,jet_in_region,truth
ext_pieces_s0,seeded10_zero_thr0.7,0.02938304360707601,0.23846274407483142,0.022015400238659194,32.6646048828125,13940.0,0.02759137096405029,0.22598171830680627,0.020600403103551847,17542.0,0.7344332032962825,-8.459995383915125,3.9064833912831745,3.6722010731962187,4.167516319606204,0.9977197582943792,val
empty image,-,0.032462771542867024,0.4894062875658793,0.016361016174251425,24.275115380859376,,,,,,,,,,,,jewel
ext_otcfm1_s0,coarse,0.15349220835367838,0.24675304920553395,0.15020588776128344,222.863006640625,6850.0,0.07033052736918131,0.17389706628937215,0.06668105381764722,16720.0,0.9922102551463551,-0.45067862514673807,3.390777181457763,3.326819330078306,3.577595472626754,,jewel
ext_otcfm1_s0,converged,0.046917233530680336,0.2582152335146756,0.039471523065325774,58.5645638671875,6850.0,0.024602091153462728,0.37267296450015447,0.012336784817003663,16720.0,0.6965837952780084,-7.725092085012409,3.4340976915734265,3.3552662543317315,3.6267226182296275,,jewel
ext_otcfm1_s0,coarse_thr0.5,0.05966990089416504,0.21394759028631835,0.05423347040049286,80.4671138671875,6850.0,0.05169482714335124,0.1823642743587083,0.04709030296216054,16720.0,0.7881798154217495,-5.219273505684291,3.3265327397720355,3.2283501593248327,3.498297111195575,,jewel
ext_otcfm1_s0,seeded8_zero_thr0.5,0.04818822072347005,0.21400913962227194,0.04234503016234196,62.828034765625,6850.0,0.042515012868245446,0.1827356786921611,0.03757392301321678,16720.0,0.788004588985249,-5.221374733881517,3.3294705773645634,3.229787563553026,3.5009437178804625,0.9992224880382775,jewel
ext_otcfm1_s0,seeded10_zero_thr0.7,0.03130088602701823,0.21281273725228636,0.02490477918839012,36.95164052734375,6850.0,0.030226514943440756,0.19362837906503458,0.02446856762071466,16720.0,0.7083382367356269,-7.085616114179484,3.32023890599792,3.2542513599211946,3.4882158413312965,0.9941985645933015,jewel
ext_otcfm1_s1,coarse,0.15666927490234375,0.2476265987875336,0.1534641245207096,227.697307421875,2270.0,0.07315949923197429,0.1743441263087988,0.06959395917274411,16720.0,0.9917653963776981,-0.48021593555879366,3.410307781066401,3.3391859904318233,3.6097618475654665,,jewel
ext_otcfm1_s1,converged,0.04667964413960775,0.25877580041098924,0.03920580926490034,58.17031982421875,2270.0,0.024765337117513022,0.37401067178789915,0.012458645492968386,16720.0,0.6926225979332912,-7.780929243564606,3.4529458362725647,3.3579685672112443,3.6753381228551993,,jewel
ext_otcfm1_s1,coarse_thr0.5,0.06194774258931478,0.21438897255706427,0.056576025238996915,83.942801953125,2270.0,0.05421309026082357,0.18249439561984238,0.049692718940317016,16720.0,0.7921818779456549,-5.146128281708539,3.346564879100646,3.2455018045638915,3.5318639241137757,,jewel
ext_otcfm1_s1,seeded8_zero_thr0.5,0.05076909014383952,0.2144550219723037,0.045001132180939714,66.7689380859375,2270.0,0.04522142677307129,0.1828591355212554,0.04037135473479576,16720.0,0.792026270928949,-5.148072794978129,3.349485671240948,3.2469657193827928,3.534638547643556,0.9992822966507177,jewel
ext_otcfm1_s1,seeded10_zero_thr0.7,0.03262748463948568,0.21297521640426934,0.026272398596997298,38.98080048828125,2270.0,0.03190620231628418,0.1933477159795986,0.026217333194967423,16720.0,0.7123643011519141,-7.010205812916231,3.3324780651163812,3.26500122771606,3.5127823300513077,0.994677033492823,jewel
ext_otcfm1_s2,coarse,0.152679416402181,0.24698838742889678,0.1493561623213351,221.6022546875,6820.0,0.06947071660359701,0.1751684285771324,0.06574614455581602,16720.0,0.9894154952426546,-0.5241520575073918,3.392216574930006,3.304008203934881,3.5843980695568702,,jewel
ext_otcfm1_s2,converged,0.04642466646830241,0.25779905906587497,0.03897626479089491,57.8297408203125,6820.0,0.02463441270192464,0.3735459920225254,0.012339481045366321,16720.0,0.6951281991177173,-7.765434391589826,3.4543234799292923,3.3577578963837507,3.649770649543728,,jewel
ext_otcfm1_s2,coarse_thr0.5,0.05889557940165202,0.2142295178954345,0.053421928206222435,79.2630150390625,6820.0,0.050936270523071286,0.18377150756789593,0.04625542871227418,16720.0,0.7849931376583534,-5.299862400567132,3.326273266816387,3.219574800325907,3.5022205869709078,,jewel
ext_otcfm1_s2,seeded8_zero_thr0.5,0.04731369374593099,0.2142989761078916,0.041429474415784755,61.46960927734375,6820.0,0.04167257620493571,0.18415816370062582,0.036651674825645644,16720.0,0.7848206376275519,-5.3018686455973025,3.328730932964934,3.2213959011702826,3.504378738858635,0.9992822966507177,jewel
ext_otcfm1_s2,seeded10_zero_thr0.7,0.030831705602010092,0.21323938464684009,0.024404031440533953,36.20867265625,6820.0,0.029675424575805662,0.19523802058254547,0.023841336884270575,16720.0,0.7055011161967932,-7.157569231684699,3.3147500056427273,3.240984753381773,3.486450788297148,0.9942583732057416,jewel
ext_otcfm1_bias1_s0,coarse,0.1425163215637207,0.24882997004651594,0.13877004701486675,205.89545703125,6790.0,0.05618022308349609,0.182406886191763,0.05173225310813179,16720.0,0.9068145121390256,-2.4853338428946774,3.3670973845113217,3.309570832814527,3.5674338677676145,,jewel
ext_otcfm1_bias1_s0,converged,0.04748925514221192,0.2577977772647294,0.040078412282640044,59.465015625,6790.0,0.02458146375020345,0.37026302331630745,0.012400352344013616,16720.0,0.7010099739426157,-7.661328595277795,3.516310775634983,3.4050319352089873,3.7113501814125214,,jewel
ext_otcfm1_bias1_s0,coarse_thr0.5,0.04639727834065755,0.21456715085458938,0.0404713157007518,60.047973046875,6790.0,0.0390459857304891,0.19351700198597085,0.033602742316007767,16720.0,0.735086861288393,-6.4886695638798075,3.2693007112742345,3.1945986426079864,3.4465255098577403,,jewel
ext_otcfm1_bias1_s0,seeded8_zero_thr0.5,0.03145500462849935,0.21501477029032656,0.024986733946974957,37.07323818359375,6790.0,0.026963992309570313,0.19579770959683593,0.021014637218611236,16720.0,0.7336374958679366,-6.506433846990458,3.290692216094133,3.2125106115885536,3.4661202291784656,0.9944976076555024,jewel
