model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,n_jets,jes,bias,jer,jer_iqr,jer_cal,step,jet_in_region,truth
pilot_otcfm_s0,seeded10_zero_thr0.7,0.03732957134246826,0.25755557632310216,0.02956914900857637,43.87222392578125,26470.0,17542.0,0.7110244924716862,-9.194243395944207,3.428328832782642,3.321995816467602,3.6404446269355146,0.9998289818720785,val
ext_otcfm_s1,seeded8_zero_thr0.5,0.050700351842244466,0.25283823302989356,0.04357732669987956,64.6563833984375,17860.0,17542.0,0.7755507785648649,-7.15638030799924,3.4092788170836834,3.313886050032721,3.6129860771556093,0.9998859879147189,val
ext_otcfm_s1,seeded10_zero_thr0.5,0.042167886225382485,0.2528459942435917,0.03474391718062532,51.55011103515625,17860.0,17542.0,0.7755202933084965,-7.156752847181787,3.409519208518888,3.31368209522154,3.612693401042967,0.9998289818720785,val
ext_otcfm_s1,seeded8_zero_thr0.7,0.0423713919321696,0.2560592711968837,0.034841363656594626,51.6946939453125,17860.0,17542.0,0.7144392344392143,-9.074136761272936,3.4530143935308084,3.3509374283436406,3.6380457221911002,0.9998859879147189,val
ext_otcfm_s1,seeded10_zero_thr0.7,0.037311332066853845,0.25606497315106624,0.02960279400792901,43.9221435546875,17860.0,17542.0,0.7144257363868264,-9.074307985390595,3.4531301257986504,3.3510118347348947,3.6379123513022917,0.9998289818720785,val
ext_otcfm_s2,seeded8_zero_thr0.5,0.052267528788248696,0.25505323326867424,0.045121675590754,66.9477587890625,17820.0,17542.0,0.7753190682504773,-7.174564269830992,3.387858374324432,3.2961363258672876,3.6157727780773055,0.9998859879147189,val
ext_otcfm_s2,seeded10_zero_thr0.5,0.04321160869598389,0.2550582291910229,0.03574646354926952,53.0376052734375,17820.0,17542.0,0.7753149312673141,-7.174607920083988,3.3878712202936465,3.2961363258672876,3.615718456330442,0.9998289818720785,val
ext_otcfm_s2,seeded8_zero_thr0.7,0.04330754191080729,0.25800704165519084,0.03574186499501185,53.03078232421875,17820.0,17542.0,0.7130099671787214,-9.13035957360129,3.4336647245241867,3.3390415960810995,3.6448325467915685,0.9998859879147189,val
ext_otcfm_s2,seeded10_zero_thr0.7,0.03795936622619629,0.2580104340634405,0.030205108717855166,44.8158076171875,17820.0,17542.0,0.7130058301955584,-9.130403223854286,3.433652534780133,3.3390415960810995,3.644748466971651,0.9998289818720785,val
empty image,-,0.032462771542867024,0.4894062875658793,0.016361016174251425,24.275115380859376,,,,,,,,,jewel
pilot_otcfm_s0,seeded8_zero_thr0.5,0.0456887020111084,0.21456723537408204,0.03973776762739889,58.95959541015625,26470.0,16720.0,0.7699743732420323,-5.689751292472821,3.2932204445215185,3.2131933476679233,3.4819138982267535,0.9991626794258374,jewel
pilot_otcfm_s0,seeded10_zero_thr0.5,0.03576585483551025,0.21498145513450556,0.02945066358232789,43.69644580078125,26470.0,16720.0,0.768154819825081,-5.711991692159735,3.3217546575219354,3.236419718030473,3.5091635694610592,0.9935406698564593,jewel
pilot_otcfm_s0,seeded8_zero_thr0.7,0.03575297832489013,0.21373018700590557,0.02948142485300093,43.74208681640625,26470.0,16720.0,0.6938511869928308,-7.483192025845131,3.28070398197243,3.2078788579173048,3.4683320958216126,0.9991626794258374,jewel
pilot_otcfm_s0,seeded10_zero_thr0.7,0.029904580815633137,0.21416515840308972,0.02341161378559191,34.736205859375,26470.0,16720.0,0.6926162943978939,-7.498383534097216,3.2955031094755256,3.2318778352617246,3.4819192180012988,0.9935406698564593,jewel
ext_otcfm_s1,seeded8_zero_thr0.5,0.045406471761067706,0.21340926789316322,0.03948639630463774,58.58663154296875,17860.0,16720.0,0.7731115541964556,-5.5917860722427735,3.3037776903752363,3.1987388015588714,3.484153778098078,0.9989832535885167,jewel
ext_otcfm_s1,seeded10_zero_thr0.5,0.035556129201253256,0.21384631258618933,0.029273547683327347,43.43365595703125,17860.0,16720.0,0.7711934031297517,-5.61534115050398,3.334963178955749,3.2191332222533457,3.512817388748583,0.9930023923444976,jewel
ext_otcfm_s1,seeded8_zero_thr0.7,0.03554168955485026,0.21257145978346992,0.02930352222359677,43.4781296875,17860.0,16720.0,0.6965226441258714,-7.394577218727632,3.2898096621109887,3.2116654539567793,3.4688991080322547,0.9989832535885167,jewel
