truth,model,readout,name,reference,observable,bias,rmse,rel_bias,rel_rmse,rel_res,corr,w1_sigma,within_1sd,sd_err_corr
jewel,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,full,zlead,-0.049976833164691925,0.07043464481830597,-0.335932195186615,0.4734446406364441,0.33361566066741943,0.9435459379888572,0.3359321876330325,,
jewel,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,full,n1,-0.8213608264923096,1.9084362983703613,-0.3889467418193817,0.9037198424339294,0.81573885679245,0.6645170971380215,0.38894674170174887,,
jewel,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,full,zg,-0.019863624195572513,0.12678290009179902,-0.17980434452704055,1.1476312692889303,1.1334583926809674,0.32101936376064566,0.17980481873591686,,
jewel,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,full,rg,0.03784749300641054,0.10619258033206405,0.33432359841545584,0.9380458984594999,0.8764461416192277,0.5699758653529318,0.38575110104380206,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,et,-3.137570858001709,4.445060729980469,-0.32484063506126404,0.46020838618278503,0.3259912431240082,0.9459913940125833,0.3248474046975022,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,mass,-0.32280460000038147,1.1076092720031738,-0.2478058636188507,0.8502731323242188,0.8133612275123596,0.6485708321468862,0.24780587134315693,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,girth,0.003294890047982335,0.01845397800207138,0.05886214226484299,0.3296743333339691,0.3243769705295563,0.9466386653001587,0.05968724027346381,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,ptd,-0.012323870323598385,0.0611020028591156,-0.10304766148328781,0.5109124183654785,0.5004125237464905,0.8721691008816769,0.10304765901452356,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,core,-0.01096593588590622,0.08046779036521912,-0.03719854727387428,0.2729620933532715,0.2704155743122101,0.9628158250413558,0.04074846093537659,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,zlead,-0.00921974703669548,0.06458211690187454,-0.05856720730662346,0.4102492332458496,0.40604719519615173,0.9160713544074888,0.05856720821346132,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,n1,-0.8213608264923096,1.9084362983703613,-0.3889467418193817,0.9037198424339294,0.81573885679245,0.6645170971380215,0.38894674170174887,,
