family,arm,seed,run,net,hours_trained,final_jer_cal,final_l1_sig,best_jer_cal,best_hours,best_step,best_l1_sig,best_mse_sig,best_jes,jewel_jer_cal,jewel_l1_sig,ms_per_event,h_T_useful,h_T_useful_interp,h_T_acc,h_T_acc_interp,h_T_match,h_T_match_interp,train_eval_time,train_load_time,train_startup_time,train_end_to_end_time,train_steps_per_s,train_samples_per_s,train_coupling_frac,train_peak_mem_gb,train_n_params
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,3.000528379250318,3.89468007399304,0.037358648109436,3.8936583117041774,2.7503210981583437,25280,0.0374037221272786,,0.9366492126987914,4.50536107238911,0.0334098747253418,16.26217895746231,1.0006910963149533,0.7809845589304569,,,,,98.79245205968618,3.0359570011496544,3.541092950850725,10975.572897292674,2.553254008224125,653.633026105376,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 16),0,ext_condcfm_s0 x16,ema,3.000528379250318,3.597290411050297,0.0359986250559488,3.597290411050297,3.000528379250318,27580,0.0359986250559488,,0.9367199041548164,4.267168134167192,0.0324227679570515,65.04871582984924,1.0006910963149533,1.0006910963149533,1.0006910963149533,1.0006910963149533,1.5007898158797373,1.2585549866235972,98.79245205968618,3.0359570011496544,3.541092950850725,10975.572897292674,2.553254008224125,653.633026105376,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 4),1,ext_condcfm_s1,ema,3.0005566543092335,3.901013320352017,0.0373473942438761,3.900776762238783,2.5004486635968917,22900,0.0373954337437947,0.0227194169362386,0.9347436379178592,4.490045130934324,0.0335197486877441,16.26217895746231,1.0006350001713469,0.8507730351749772,,,,,50.60879722982645,31.92949291318655,32.6613675057888,10896.360366344452,2.543972406710189,651.2569361178084,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 4),1,ext_condcfm_s1,raw,3.0005566543092335,3.919271070134534,0.0373601322809855,3.919271070134534,3.0005566543092335,27480,0.0373601322809855,,0.9134610931851662,,,16.26217895746231,,3.0005566543092335,,,,,50.60879722982645,31.92949291318655,32.6613675057888,10896.360366344452,2.543972406710189,651.2569361178084,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 16),1,ext_condcfm_s1 x16,ema,2.5004486635968917,3.603575069733553,0.0360342650095621,3.603575069733553,2.5004486635968917,22900,0.0360342650095621,,0.9348571708876192,4.246624865850228,0.0325271686553955,65.04871582984924,,2.5004486635968917,,2.5004486635968917,,2.5004486635968917,50.60879722982645,31.92949291318655,32.6613675057888,10896.360366344452,2.543972406710189,651.2569361178084,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 4),2,ext_condcfm_s2,ema,3.0004154081870285,3.904576815771792,0.0372748823801676,3.904576815771792,3.0004154081870285,27530,0.0372748823801676,0.0226770542144775,0.9316545071201792,4.530116742179664,0.0332806236267089,16.26217895746231,1.0000794974880085,0.859038399134159,,,,,50.61311499029398,296.3041756749153,296.83359960466623,11161.06016304344,2.5487211541961057,652.472615474203,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 4),2,ext_condcfm_s2,raw,3.0004154081870285,3.9918892921555145,0.0371988878250122,3.9918892921555145,3.0004154081870285,27530,0.0371988878250122,,0.9298771774583332,,,16.26217895746231,,3.0004154081870285,,,,,50.61311499029398,296.3041756749153,296.83359960466623,11161.06016304344,2.5487211541961057,652.472615474203,0.0,41.37567853927612,21559490.0
flow,condcfm (mean of 16),2,ext_condcfm_s2 x16,ema,3.0004154081870285,3.602700951175081,0.0359290108998616,3.602700951175081,3.0004154081870285,27530,0.0359290108998616,,0.9319009668446968,4.28042747411205,0.0323024691263834,65.04871582984924,,3.0004154081870285,,3.0004154081870285,,3.0004154081870285,50.61311499029398,296.3041756749153,296.83359960466623,11161.06016304344,2.5487211541961057,652.472615474203,0.0,41.37567853927612,21559490.0
flow,otcfm1 log(E+1) (m - b),0,ext_otcfm1_bias1_s0,ema,2.0003333619650867,3.807802163543654,0.1448389981587728,3.7847423755504814,0.7504520198019843,6790,0.1442100194295247,0.0575496883392334,0.876679186990598,3.5674338677676145,0.1425163215637207,2.0201825201511383,0.25061783607014354,0.25061783607014354,,,,,34.37718579918146,61.22333162277937,62.153525583446026,7315.771107561886,2.514858598675593,643.8038012609518,0.017484894247695268,35.637465476989746,21556897.0
flow,otcfm1 log(E+1) (m - b),0,ext_otcfm1_bias1_s0,raw,2.0003333619650867,3.8448632250655694,0.1441443204243978,3.8448632250655694,2.0003333619650867,18110,0.1441443204243978,0.0581621149698893,0.8618336578796536,,,2.0201825201511383,,2.0003333619650867,,,,,34.37718579918146,61.22333162277937,62.153525583446026,7315.771107561886,2.514858598675593,643.8038012609518,0.017484894247695268,35.637465476989746,21556897.0
