batch,repeat,setup,corr,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal
256,3,random,0.037880829860584594,0.03846153989434242,234,0.09263793757868084,-29.934525925888973,9.544506717050357,8.270063958758332,187.65883540229086
256,3,"empty start, log",0.14012709727538095,0.04273504391312599,234,0.09053300693160811,-29.827616895365917,9.511372782471462,7.9133141208702416,50.265726267164645
256,3,"empty start, GeV",-0.06279465878016609,0.017094017937779427,234,0.07584745828433599,-30.624031560033814,9.268117568658472,7.596546495464486,-113.06278433324923
256,3,"mixture start, log",0.12930154375584418,0.32478633522987366,234,0.4783999767398899,-17.340094285133556,14.518461209829368,16.229872000137906,54.555113076310455
256,3,"mixture start, GeV",0.1731177339952999,0.3076923191547394,234,0.42435667339314986,-19.0225172083602,15.228207762619387,18.17963050859252,40.47169581729686
256,3,"mix -> PYTHIA, log",0.23059230870904548,0.3589743673801422,234,0.5623812934241739,-14.554906743204493,13.363632946203328,14.800225124260159,30.01862976752448
256,3,"mix -> PYTHIA, GeV",0.25353419354612944,0.4572649598121643,234,0.6178495337200258,-12.708882719023615,13.906932102793373,15.916878068950815,27.141686767433868
256,3,"mix -> HIJING, log",0.6933647412058545,0.7051281929016113,234,0.9896058367589183,-0.3518403493441068,7.340205547599666,6.499859560322461,7.393070896237342
256,3,"mix -> HIJING, GeV",0.6336403141063199,0.632478654384613,234,0.9373199434110226,-1.9793166543683436,8.2494921982044,8.336978457078304,8.685395146187657
1024,0,random,-0.05093318187089102,0.025871766731142998,889,0.07942921104450527,-30.189487628915312,8.674819406261372,6.637822088265613,-125.67051353183028
1024,0,"empty start, log",0.018495730637464305,0.05286839231848717,889,0.0877624976269484,-29.86058959059828,9.103504127562884,6.6948714655712855,346.45948998717654
1024,0,"empty start, GeV",0.0003703098976812443,0.044994376599788666,889,0.09306116236654938,-29.679203430364584,9.263905980900054,6.963646438406343,17307.442637046937
1024,0,"mixture start, log",0.1211201063078051,0.3532058596611023,889,0.5732524500550384,-14.31602919249218,13.494991888705188,16.163074501891593,52.5258201895736
1024,0,"mixture start, GeV",0.2523239979604618,0.4004499316215515,889,0.572347239744124,-13.95191564763759,13.683569024471387,16.732005917469248,24.57846552578262
1024,0,"mix -> PYTHIA, log",0.09979613255911961,0.4015747904777527,889,0.6357447579175766,-12.424257182967676,13.244392676875878,15.320617415623987,63.901502655640925
1024,0,"mix -> PYTHIA, GeV",0.23445605471373146,0.5410573482513428,889,0.7087562665988066,-9.81074618971388,12.156761105321682,12.363558260929683,26.574168114665607
1024,0,"mix -> HIJING, log",0.6481651559572338,0.7019122838973999,889,0.9705518993705892,-0.9165852807370026,7.571371569057815,7.512552814186724,7.529781227528867
1024,0,"mix -> HIJING, GeV",0.5561225218916724,0.6929134130477905,889,0.9300271104213387,-2.415948644665953,8.19509816929411,8.146386397512336,9.578140786683536
1024,1,random,-0.0006896497555736865,0.055370986461639404,903,0.1046258438632779,-29.711292000704034,9.67889389270737,7.297068370369472,-9257.028061458446
1024,1,"empty start, log",-0.002041012057451602,0.05426356568932533,903,0.10595502086318027,-29.681339296655665,9.577103641166406,7.656985340160825,-3127.906735072604
1024,1,"empty start, GeV",0.014309918428811297,0.03875968977808952,903,0.09481128457621459,-30.031772548046092,9.190286227615672,7.0604433210979485,446.0860491570329
1024,1,"mixture start, log",0.06288452119619165,0.35437431931495667,903,0.5575640076727967,-15.098116194555002,14.389120600175499,16.63281742602123,101.32021636275375
1024,1,"mixture start, GeV",0.24625841926440528,0.3842746317386627,903,0.5616125278445389,-14.474233450947674,14.13123675375388,16.97070444840869,25.126064623287633
1024,1,"mix -> PYTHIA, log",0.08037794174405238,0.39867109060287476,903,0.6418437061491024,-12.423925511728754,13.660558724376092,15.34677241094206,79.16914110946509
1024,1,"mix -> PYTHIA, GeV",0.19773443476051547,0.5193798542022705,903,0.6985615449470356,-10.29261743032259,12.876753497214366,13.268176673340568,31.648804316601275
1024,1,"mix -> HIJING, log",0.6372967076775489,0.6910299062728882,903,0.9461524702377822,-1.7538748368340342,7.439197109471413,7.466174126378336,7.719657608245303
1024,1,"mix -> HIJING, GeV",0.536528342270649,0.644518256187439,903,0.9054995519182646,-3.229696972953653,8.387565787213445,8.444443908419938,10.04128930345749
1024,2,random,-0.01689865413128277,0.04596412554383278,892,0.09660693224707428,-29.558602238984385,9.206865612793841,7.10362871988691,-373.46046900836706
1024,2,"empty start, log",0.005864000186349773,0.03699551522731781,892,0.09006497526482005,-29.723443766880465,8.93563155134133,7.297179361375903,1076.359458241509
1024,2,"empty start, GeV",-0.006498838102954646,0.05829596519470215,892,0.10340839065241951,-29.32861814798261,9.458755900566496,7.321150590968715,-971.2116526316333
1024,2,"mixture start, log",0.14008730298702515,0.3329596519470215,892,0.5408700892298388,-15.218102058487622,13.666541514974936,16.41570947362901,44.612466519583634
1024,2,"mixture start, GeV",0.25289929243795267,0.3934977650642395,892,0.5812412950502645,-13.599990221417004,13.780468542874463,17.184067338020206,24.14675721482385
1024,2,"mix -> PYTHIA, log",0.139681296836117,0.40807175636291504,892,0.6333500491139732,-12.301681804015498,13.250021664548836,14.730439352229228,44.74473169793117
1024,2,"mix -> PYTHIA, GeV",0.23970712078775805,0.5011211037635803,892,0.6889923113929161,-10.332886766425164,12.554276360205558,12.571829703227072,25.563943429368283
1024,2,"mix -> HIJING, log",0.6313854595147219,0.6961883306503296,892,0.9277714806299154,-2.2968869626254778,7.460514122527932,7.096521407255338,7.752267010632464
1024,2,"mix -> HIJING, GeV",0.5261230952342886,0.6491031646728516,892,0.8718353546314626,-4.240504175023648,8.331589351765045,7.957835299956348,10.202320473017277
1024,3,random,0.008910686332530475,0.03563474491238594,898,0.08689763345656776,-30.105472581689234,8.939896909799259,6.947383781642363,729.6643455611754
1024,3,"empty start, log",-0.03525429924136252,0.04120267182588577,898,0.10152956019619924,-29.68744626077087,9.609741753037508,7.001152915191085,-184.3186940225549
1024,3,"empty start, GeV",-0.06378167113025386,0.028953230008482933,898,0.08662623675583744,-30.182180233681386,9.260106911882605,6.786934970660595,-101.73501445602388
1024,3,"mixture start, log",0.09876571846230985,0.3596881926059723,898,0.5614159102747367,-14.887786110153709,14.166874585096798,16.754062021989306,65.51137255168987
1024,3,"mixture start, GeV",0.24056595182392745,0.39977729320526123,898,0.5598504422457253,-14.508079407740807,13.933000964009304,17.08335572476737,26.23447179822714
1024,3,"mix -> PYTHIA, log",0.15863808657604728,0.4376392066478729,898,0.641195019527552,-12.168750094942633,12.951924559103357,14.651683456726301,40.467780470294144
1024,3,"mix -> PYTHIA, GeV",0.2425872877236966,0.5144765973091125,898,0.6835905472605431,-10.660259567549605,12.253755328957949,12.566468554836808,26.00238791951519
1024,3,"mix -> HIJING, log",0.647647443199786,0.6881960034370422,898,0.9333627836204987,-2.1010770755249566,7.583106245181449,6.873807348614715,7.64951193312201
1024,3,"mix -> HIJING, GeV",0.5122526225900549,0.6525612473487854,898,0.8956013374296329,-3.583987928445727,8.698274487333924,8.32037752517689,10.901267028035589
